id_a,id_b,cosine_similarity,title_norm_a,title_a,title_norm_b,title_b
14,17059,0.9403446052753056,the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",the hitchhiker s guide to the galaxy hitchhiker s guide 1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)"
14,79259,0.9403446052753056,the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",the hitchhiker s guide to the galaxy hitchhiker s guide 1,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide #1)
14,79260,0.9403446052753056,the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",the hitchhiker s guide to the galaxy hitchhiker s guide 1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)"
18,17059,0.8675492614754412,the ultimate hitchhiker s guide hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",the hitchhiker s guide to the galaxy hitchhiker s guide 1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)"
18,79260,0.8675492614754412,the ultimate hitchhiker s guide hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",the hitchhiker s guide to the galaxy hitchhiker s guide 1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)"
18,79259,0.8675492614754412,the ultimate hitchhiker s guide hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",the hitchhiker s guide to the galaxy hitchhiker s guide 1,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide #1)
28,10540,1.0,notes from a small island,Notes from a Small Island,notes from a small island,Notes From A Small Island
31,15247,0.9108444670718889,the lord of the rings the lord of the rings 1 3,"The Lord of the Rings (The Lord of the Rings, #1-3)",the lord of the rings,The Lord of the Rings
34,92671,1.0,the fellowship of the ring the lord of the rings 1,"The Fellowship of the Ring (The Lord of the Rings, #1)",the fellowship of the ring the lord of the rings 1,"The Fellowship of the Ring (The Lord of the Rings, #1)"
34,119,0.908472537166142,the fellowship of the ring the lord of the rings 1,"The Fellowship of the Ring (The Lord of the Rings, #1)",the lord of the rings the art of the fellowship of the ring,The Lord of the Rings: The Art of the Fellowship of the Ring
53,52539,0.9999999999999999,guts the true stories behind hatchet and the brian books,Guts: The True Stories behind Hatchet and the Brian Books,guts the true stories behind hatchet and the brian books,Guts: The True Stories Behind Hatchet and the Brian Books
53,69941,0.9786799532938255,guts the true stories behind hatchet and the brian books,Guts: The True Stories behind Hatchet and the Brian Books,guts the true stories behind hatchet and the brian books the true stories behind hatchet and the brian books,Guts: The True Stories Behind Hatchet and the Brian Books: The True Stories Behind Hatchet and the Brian Books
58,28807,0.9010752904993846,changeling changeling 1,"Changeling (Changeling, #1)",changeling,Changeling
59,77354,1.0,the changeling sea,The Changeling Sea,the changeling sea,The Changeling Sea
61,28807,0.8732529687054454,the changeling,The Changeling,changeling,Changeling
74,82,0.9324887302265871,the john mcphee reader john mcphee reader 1,"The John McPhee Reader (John McPhee Reader, #1)",the second john mcphee reader john mcphee reader 2,"The Second John McPhee Reader (John McPhee Reader, #2)"
82,19895,0.9311489933964858,the second john mcphee reader john mcphee reader 2,"The Second John McPhee Reader (John McPhee Reader, #2)",the second john mcphee reader,The Second John McPhee Reader
98,6930,0.9087624841771544,what to expect the first year what to expect,What to Expect the First Year (What to Expect),what to expect the first year,What to Expect the First Year
103,42432,1.0,god emperor of dune dune chronicles 4,"God Emperor of Dune (Dune Chronicles, #4)",god emperor of dune dune chronicles 4,God Emperor of Dune (Dune Chronicles #4)
105,53767,0.9999999999999997,chapterhouse dune dune chronicles 6,Chapterhouse: Dune (Dune Chronicles #6),chapterhouse dune dune chronicles 6,"Chapterhouse Dune (Dune Chronicles, #6)"
109,117,1.0,heretics of dune dune chronicles 5,"Heretics of Dune (Dune Chronicles, #5)",heretics of dune dune chronicles 5,Heretics of Dune (Dune Chronicles #5)
119,92671,0.908472537166142,the lord of the rings the art of the fellowship of the ring,The Lord of the Rings: The Art of the Fellowship of the Ring,the fellowship of the ring the lord of the rings 1,"The Fellowship of the Ring (The Lord of the Rings, #1)"
122,84035,0.927833055571859,the power of one the power of one 1,"The Power of One (The Power of One, #1)",the power of one,The Power of One
122,46836,0.8767439486357805,the power of one the power of one 1,"The Power of One (The Power of One, #1)",to the power of one,To the Power of One
137,20222,0.8504603621829923,starting an ebay business for dummies,Starting an eBay Business for Dummies,starting an ebay business for canadians for dummies,Starting an eBay Business for Canadians for Dummies
142,144,0.87812874634707,ruby ann s down home trailer park cookbook,Ruby Ann's Down Home Trailer Park Cookbook,ruby ann s down home trailer park bbqin cookbook,Ruby Ann's Down Home Trailer Park BBQin' Cookbook
162,163,0.8944253496204424,untouchable,Untouchable,the untouchable,The Untouchable
162,164,0.8674172401409208,untouchable,Untouchable,the untouchables,The Untouchables
163,164,0.9698039534646657,the untouchable,The Untouchable,the untouchables,The Untouchables
251,252,0.9241103408346,nexus the rosy crucifixion 3,"Nexus (The Rosy Crucifixion, #3)",sexus the rosy crucifixion 1,"Sexus (The Rosy Crucifixion, #1)"
264,27556,0.9243091013014209,the portrait of a lady,The Portrait of a Lady,portrait of a lady,Portrait Of A Lady
275,56976,0.9009753648908364,the lover,The Lover,the lovers,The Lovers
277,89305,0.8775782834987839,writing,Writing,writings,Writings
277,6463,0.8775782834987839,writing,Writing,writings,Writings
291,94342,0.8968792224084257,the broken wings,The Broken Wings,broken wings,Broken Wings
295,94964,1.0,treasure island,Treasure Island,treasure island,Treasure Island
305,20487,0.9999999999999996,george eliot and judaism an attempt to appreciate daniel deronda,George Eliot and Judaism: An Attempt to Appreciate 'Daniel Deronda',george eliot and judaism an attempt to appreciate daniel deronda,George Eliot And Judaism: An Attempt To Appreciate Daniel Deronda
309,27455,0.8608873226458232,daniel deronda v1,"Daniel Deronda, V1",daniel deronda,Daniel Deronda
350,91492,1.0,stranger in a strange land,Stranger in a Strange Land,stranger in a strange land,Stranger in a Strange Land
350,17198,0.8712433379081663,stranger in a strange land,Stranger in a Strange Land,strangers in a strange land,Strangers in a Strange Land
353,78120,1.0,time enough for love,Time Enough for Love,time enough for love,Time Enough for Love
372,377,0.9766120929067057,the salmon of doubt hitchhiking the galaxy one last time,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,salmon of doubt hitchhiking the galaxy one last time,Salmon of Doubt: Hitchhiking the Galaxy One Last Time
399,33024,0.8776740163126097,underworld,Underworld,underworld underworld 1,"Underworld (Underworld, #1)"
403,81707,1.0,americana,Americana,americana,Americana.
422,76497,0.9320369007145916,a book of common prayer,A Book of Common Prayer,the book of common prayer,The Book of Common Prayer
462,82110,1.0,disappearances,Disappearances,disappearances,Disappearances
464,90049,0.9153059883806708,collected poems,Collected Poems,the collected poems,The Collected Poems
464,75504,0.9153059883806708,collected poems,Collected Poems,the collected poems,The Collected Poems
471,26461,0.9181315471059068,world that is the book paul austers fiction,World that is the Book: Paul Auster’s Fiction,world that is the book paul auster s fiction,World that is the Book: Paul Auster's Fiction
515,516,0.9382128005595398,programming ruby the pragmatic programmers guide,Programming Ruby: The Pragmatic Programmers' Guide,programming ruby the pragmatic programmer s guide,Programming Ruby: The Pragmatic Programmer's Guide
536,77544,1.0,the lovely bones,The Lovely Bones,the lovely bones,The Lovely Bones
550,34107,0.8937934901975296,country living stylish storage simple ways to contain your clutter,Country Living Stylish Storage: Simple Ways to Contain Your Clutter,stylish storage simple ways to contain your clutter,Stylish Storage: Simple Ways to Contain Your Clutter
603,27017,0.9570383289691863,sex drugs gambling and chocolate a workbook for overcoming addictions,"Sex, Drugs, Gambling, and Chocolate: A Workbook for Overcoming Addictions",sex drugs gambling chocolate a workbook for overcoming addictions,"Sex, Drugs, Gambling & Chocolate: A Workbook for Overcoming Addictions"
609,610,0.8638851944195892,grand theft auto vice city official strategy guide for pc,Grand Theft Auto: Vice City Official Strategy Guide for PC,grand theft auto vice city stories official strategy guide,Grand Theft Auto: Vice City Stories Official Strategy Guide
629,13113,0.8916008771310806,zen and the art of motorcycle maintenance an inquiry into values phaedrus 1,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",zen and the art of motorcycle maintenance an inquiry into values,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
655,18385,0.8986110577638793,the death of ivan ilych and other stories,The Death of Ivan Ilych And Other Stories,the death of ivan ilych other stories,The Death of Ivan Ilych & Other Stories
681,29247,0.974097612723053,natural cures they don t want you to know about,"Natural Cures ""They"" Don't Want You to Know about",natural cures they don t want you to know about natural cures they don t want you to know a,Natural Cures ''They'' Don't Want You to Know About Natural Cures ''They'' Don't Want You to Know A
703,97352,1.0,the plot against america,The Plot Against America,the plot against america,The Plot Against America
705,93834,1.0,democracy in america,Democracy in America,democracy in america,Democracy in America
740,35572,0.9326561967647998,the beatles guitar chord songbook a i guitar chord songbooks,The Beatles Guitar Chord Songbook: A-I (Guitar Chord Songbooks),the beatles guitar chord songbook j y guitar chord songbooks,The Beatles Guitar Chord Songbook: J-Y (Guitar Chord Songbooks)
759,83431,1.0,collected stories,Collected Stories,collected stories,Collected Stories
759,12577,0.9131208506866242,collected stories,Collected Stories,the collected stories,The Collected Stories
759,97380,0.9131208506866242,collected stories,Collected Stories,the collected stories,The Collected Stories
769,44555,1.0,gabriel garcia marquez,Gabriel Garcia Marquez,gabriel garcia marquez,Gabriel García Márquez
794,92160,1.0,london,London,london,London
822,77587,1.0,the confusion the baroque cycle 2,"The Confusion (The Baroque Cycle, #2)",the confusion the baroque cycle 2,"The Confusion (The Baroque Cycle, #2)"
866,870,0.9166624217482265,fullmetal alchemist vol 9 fullmetal alchemist 9,"Fullmetal Alchemist, Vol. 9 (Fullmetal Alchemist, #9)",fullmetal alchemist vol 1 fullmetal alchemist 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)"
866,44734,0.9145994814847972,fullmetal alchemist vol 9 fullmetal alchemist 9,"Fullmetal Alchemist, Vol. 9 (Fullmetal Alchemist, #9)",fullmetal alchemist vol 6 fullmetal alchemist 6,"Fullmetal Alchemist, Vol. 6 (Fullmetal Alchemist, #6)"
866,868,0.9137407477310415,fullmetal alchemist vol 9 fullmetal alchemist 9,"Fullmetal Alchemist, Vol. 9 (Fullmetal Alchemist, #9)",fullmetal alchemist vol 3 fullmetal alchemist 3,"Fullmetal Alchemist, Vol. 3 (Fullmetal Alchemist, #3)"
866,871,0.9125770512594384,fullmetal alchemist vol 9 fullmetal alchemist 9,"Fullmetal Alchemist, Vol. 9 (Fullmetal Alchemist, #9)",fullmetal alchemist vol 4 fullmetal alchemist 4,"Fullmetal Alchemist, Vol. 4 (Fullmetal Alchemist, #4)"
868,37054,0.9295839575680483,fullmetal alchemist vol 3 fullmetal alchemist 3,"Fullmetal Alchemist, Vol. 3 (Fullmetal Alchemist, #3)",3 fullmetal alchemist 3,"鋼の錬金術師 3 (Fullmetal Alchemist, #3)"
868,82638,0.9135143717839203,fullmetal alchemist vol 3 fullmetal alchemist 3,"Fullmetal Alchemist, Vol. 3 (Fullmetal Alchemist, #3)",fullmetal alchemist vol 13 fullmetal alchemist 13,"Fullmetal Alchemist, Vol. 13 (Fullmetal Alchemist, #13)"
868,870,0.9098617115981572,fullmetal alchemist vol 3 fullmetal alchemist 3,"Fullmetal Alchemist, Vol. 3 (Fullmetal Alchemist, #3)",fullmetal alchemist vol 1 fullmetal alchemist 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)"
869,37055,0.9301443103386523,fullmetal alchemist vol 8 fullmetal alchemist 8,"Fullmetal Alchemist, Vol. 8 (Fullmetal Alchemist, #8)",8 fullmetal alchemist 8,鋼の錬金術師 8 (Fullmetal Alchemist 8)
866,869,0.9123361214039282,fullmetal alchemist vol 9 fullmetal alchemist 9,"Fullmetal Alchemist, Vol. 9 (Fullmetal Alchemist, #9)",fullmetal alchemist vol 8 fullmetal alchemist 8,"Fullmetal Alchemist, Vol. 8 (Fullmetal Alchemist, #8)"
869,870,0.9084630482274837,fullmetal alchemist vol 8 fullmetal alchemist 8,"Fullmetal Alchemist, Vol. 8 (Fullmetal Alchemist, #8)",fullmetal alchemist vol 1 fullmetal alchemist 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)"
869,44734,0.9064185605779828,fullmetal alchemist vol 8 fullmetal alchemist 8,"Fullmetal Alchemist, Vol. 8 (Fullmetal Alchemist, #8)",fullmetal alchemist vol 6 fullmetal alchemist 6,"Fullmetal Alchemist, Vol. 6 (Fullmetal Alchemist, #6)"
870,23506,0.9435166459315805,fullmetal alchemist vol 1 fullmetal alchemist 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",fullmetal alchemist vol 11 fullmetal alchemist 11,"Fullmetal Alchemist, Vol. 11 (Fullmetal Alchemist, #11)"
870,26422,0.9231808319952078,fullmetal alchemist vol 1 fullmetal alchemist 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",fullmetal alchemist vol 14 fullmetal alchemist 14,"Fullmetal Alchemist, Vol. 14 (Fullmetal Alchemist, #14)"
870,82638,0.9168382116153134,fullmetal alchemist vol 1 fullmetal alchemist 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",fullmetal alchemist vol 13 fullmetal alchemist 13,"Fullmetal Alchemist, Vol. 13 (Fullmetal Alchemist, #13)"
871,37052,0.9284439040729972,fullmetal alchemist vol 4 fullmetal alchemist 4,"Fullmetal Alchemist, Vol. 4 (Fullmetal Alchemist, #4)",4 fullmetal alchemist 4,"鋼の錬金術師 4 (Fullmetal Alchemist, #4)"
871,26422,0.9180737775823562,fullmetal alchemist vol 4 fullmetal alchemist 4,"Fullmetal Alchemist, Vol. 4 (Fullmetal Alchemist, #4)",fullmetal alchemist vol 14 fullmetal alchemist 14,"Fullmetal Alchemist, Vol. 14 (Fullmetal Alchemist, #14)"
870,871,0.9087029552812668,fullmetal alchemist vol 1 fullmetal alchemist 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",fullmetal alchemist vol 4 fullmetal alchemist 4,"Fullmetal Alchemist, Vol. 4 (Fullmetal Alchemist, #4)"
866,873,0.9121210953285365,fullmetal alchemist vol 9 fullmetal alchemist 9,"Fullmetal Alchemist, Vol. 9 (Fullmetal Alchemist, #9)",fullmetal alchemist vol 2 fullmetal alchemist 2,"Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)"
873,26426,0.9094054160530769,fullmetal alchemist vol 2 fullmetal alchemist 2,"Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)",fullmetal alchemist vol 12 fullmetal alchemist 12,"Fullmetal Alchemist, Vol. 12 (Fullmetal Alchemist, #12)"
870,873,0.9082489349864138,fullmetal alchemist vol 1 fullmetal alchemist 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",fullmetal alchemist vol 2 fullmetal alchemist 2,"Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)"
873,44734,0.9062049291967726,fullmetal alchemist vol 2 fullmetal alchemist 2,"Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)",fullmetal alchemist vol 6 fullmetal alchemist 6,"Fullmetal Alchemist, Vol. 6 (Fullmetal Alchemist, #6)"
900,25381,1.0,the game penetrating the secret society of pickup artists,The Game: Penetrating the Secret Society of Pickup Artists,the game penetrating the secret society of pickup artists,The Game : Penetrating the Secret Society of Pickup Artists
929,936,1.0,memoirs of a geisha,Memoirs of a Geisha,memoirs of a geisha,Memoirs Of A Geisha
960,85302,1.0,angels demons robert langdon 1,"Angels & Demons (Robert Langdon, #1)",angels demons robert langdon 1,"Angels & Demons (Robert Langdon, #1)"
968,972,0.9580018429051991,the da vinci code robert langdon 2,"The Da Vinci Code (Robert Langdon, #2)",da vinci code robert langdon 2,"Da Vinci Code (Robert Langdon, #2)"
969,36589,0.875795015989287,the da vinci code,The Da Vinci Code,beyond the da vinci code,Beyond The Da Vinci Code
1004,1006,1.0,think and grow rich,Think and Grow Rich,think and grow rich,Think and Grow Rich!
1021,26536,1.0,recovering subversion feminist politics beyond the law,Recovering Subversion: FEMINIST POLITICS BEYOND THE LAW,recovering subversion feminist politics beyond the law,Recovering Subversion: Feminist Politics Beyond the Law
1233,1236,0.9692662400147513,the shadow of the wind,The Shadow of the Wind,in the shadow of the wind,In the Shadow of the Wind
1241,1242,0.896135902030245,a million little pieces,A Million Little Pieces,a million little pieces of feces,A Million Little Pieces of Feces
1246,26525,0.9357886761625799,the leadership challenge,The Leadership Challenge,leadership challenge,Leadership Challenge
1353,95759,1.0,gorgias,Gorgias,gorgias,Gorgias
1375,66672,1.0,the iliad the odyssey,The Iliad/The Odyssey,the iliad the odyssey,The Iliad & The Odyssey
1381,77201,1.0,the odyssey,The Odyssey,the odyssey,The Odyssey
1420,89338,1.0,hamlet,Hamlet,hamlet,Hamlet
1440,1444,0.8750385021023609,history of the peloponnesian war bk 1 2,History of the Peloponnesian War: Bk. 1-2,history of the peloponnesian war bk 5 6,History of the Peloponnesian War: Bk. 5-6
1440,1459,0.8723531863778565,history of the peloponnesian war bk 1 2,History of the Peloponnesian War: Bk. 1-2,history of the peloponnesian war bk 7 8,"History of the Peloponnesian War, Bk. 7-8"
1444,1459,0.9012847659780343,history of the peloponnesian war bk 5 6,History of the Peloponnesian War: Bk. 5-6,history of the peloponnesian war bk 7 8,"History of the Peloponnesian War, Bk. 7-8"
1445,87539,1.0,the peloponnesian war,The Peloponnesian War,the peloponnesian war,The Peloponnesian War
1445,27226,0.886126997904347,the peloponnesian war,The Peloponnesian War,the history of the peloponnesian war,The History of the Peloponnesian War
1516,1526,0.9137508761052657,aeschylus i oresteia agamemnon the libation bearers the eumenides,"Aeschylus I: Oresteia (Agamemnon, The Libation Bearers, The Eumenides)",aeschylus 1 the oresteia agamemnon the libation bearers the eumenides,"Aeschylus, 1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides"
1516,1519,0.8634923705617624,aeschylus i oresteia agamemnon the libation bearers the eumenides,"Aeschylus I: Oresteia (Agamemnon, The Libation Bearers, The Eumenides)",the oresteia agamemnon the libation bearers the eumenides,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides"
1519,1526,0.8801145267685219,the oresteia agamemnon the libation bearers the eumenides,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",aeschylus 1 the oresteia agamemnon the libation bearers the eumenides,"Aeschylus, 1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides"
1535,1545,0.974222523793945,sophocles i oedipus the king oedipus at colonus antigone the complete greek tragedies 8,"Sophocles I: Oedipus The King, Oedipus at Colonus, Antigone (The Complete Greek Tragedies, #8)",sophocles i oedipus the king oedipus at colonus antigone complete greek tragedies,"Sophocles I: Oedipus the King, Oedipus at Colonus, Antigone (Complete Greek Tragedies)"
1538,51742,0.9235581512503869,the complete plays,The Complete Plays,complete plays,Complete Plays
1542,85625,0.9389764912066617,the three theban plays antigone oedipus the king oedipus at colonus,"The Three Theban Plays: Antigone, Oedipus the King, Oedipus at Colonus",the three theban plays oedipus the king oedipus at colonus antigone,"The Three Theban Plays: Oedipus the King, Oedipus at Colonus & Antigone"
1551,1557,0.8892763046404787,sophocles plays 2 ajax women of trachis electra philoctetes,"Sophocles Plays 2: Ajax, Women of Trachis, Electra, Philoctetes",sophocles 1 ajax women of trachis electra philoctetes,Sophocles 1: Ajax/Women of Trachis/Electra/Philoctetes
1618,89312,1.0,the curious incident of the dog in the night time,The Curious Incident of the Dog in the Night-Time,the curious incident of the dog in the night time,The Curious Incident of the Dog in the Night-time
1618,3439,1.0,the curious incident of the dog in the night time,The Curious Incident of the Dog in the Night-Time,the curious incident of the dog in the night time,The Curious Incident of the Dog in the Night-time
1618,3438,1.0,the curious incident of the dog in the night time,The Curious Incident of the Dog in the Night-Time,the curious incident of the dog in the night time,The Curious Incident of the Dog In the Night-time
1618,22172,0.8699395126196678,the curious incident of the dog in the night time,The Curious Incident of the Dog in the Night-Time,curious incident of the dog in the nightdress,Curious Incident of the Dog in the Nightdress
1621,85431,1.0,friday night lights a town a team and a dream,"Friday Night Lights: A Town, a Team, And a Dream",friday night lights a town a team and a dream,"Friday Night Lights: A Town, a Team, and a Dream"
1664,17043,0.8528791859921888,essentials of american and texas government continuity and change,Essentials of American and Texas Government: Continuity and Change,essentials of american government continuity and change,Essentials of American Government: Continuity and Change
1681,1694,0.8511762707413696,the confessions works of saint augustine 1,The Confessions (Works of Saint Augustine 1),the confessions of saint augustine,The Confessions of Saint Augustine
1689,87532,0.9628192530199493,the confessions,The Confessions,the confession,The Confession
1689,87621,0.8912085016011585,the confessions,The Confessions,confessions,Confessions
1689,1705,0.8912085016011585,the confessions,The Confessions,confessions,Confessions
1705,87621,1.0,confessions,Confessions,confessions,Confessions
1705,26244,0.8564624209864423,confessions,Confessions,a confession,A Confession
1752,7729,0.9149378113007121,antigone,Antigone,antigones,Antigones
1839,76919,0.9999999999999998,guns germs and steel the fates of human societies,"Guns, Germs and Steel: The Fates of Human Societies",guns germs and steel the fates of human societies,"Guns, Germs and Steel: The Fates of Human Societies"
1852,79589,1.0,the call of the wild,The Call of the Wild,the call of the wild,The Call of the Wild
1870,50212,0.937416647970797,nickel and dimed,Nickel and Dimed,nickel and dime,Nickel and Dime
1898,50793,0.8969316592810616,into thin air a personal account of the mount everest disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,into thin air a personal account of the mt everest disaster,Into Thin Air: A Personal Account of the Mt. Everest Disaster
1934,1935,0.8887863073251191,little women,Little Women,little women little women 1,"Little Women (Little Women, #1)"
1934,93015,0.8814116279875477,little women,Little Women,the little women,The Little Women
1935,93019,0.8887863073251191,little women little women 1,"Little Women (Little Women, #1)",little women,Little Women
1955,62208,1.0,a tale of two cities,A Tale of Two Cities,a tale of two cities,A Tale Of Two Cities
1958,62202,0.8800498857229752,a tale of two cities charles dickens,A Tale of Two Cities: Charles Dickens,charles dickens a tale of two cities,Charles Dickens' a Tale of Two Cities
1984,76921,1.0,bleak house,Bleak House,bleak house,Bleak House
1989,81670,1.0,great expectations,Great Expectations,great expectations,Great Expectations
1993,49234,0.9387413239312635,the third chimpanzee the evolution future of the human animal,The Third Chimpanzee: The Evolution & Future of the Human Animal,the third chimpanzee the evolution and future of the human animal,The Third Chimpanzee: The Evolution and Future of the Human Animal
1996,41900,1.0,j k rowling a biography,J. K. Rowling: A Biography,j k rowling a biography,J.K. Rowling - A Biography
1999,2001,1.0,j k rowling,J.K.Rowling,j k rowling,J.K. Rowling
2142,2146,1.0,blink,Blink,blink,Blink.
2151,50374,0.9289391646043039,the complete novels,The Complete Novels,complete novels,Complete Novels
2151,11267,0.8567330156723342,the complete novels,The Complete Novels,five complete novels,Five Complete Novels
2156,91910,1.0,persuasion,Persuasion,persuasion,Persuasion
2179,2183,0.9373983589567654,a sentimental education,A Sentimental Education,sentimental education,Sentimental Education
2265,30055,1.0,it s not about the bike my journey back to life,It's Not about the Bike: My Journey Back to Life,it s not about the bike my journey back to life,It's Not About the Bike: My Journey Back to Life
2314,17730,0.9017888401712448,the house of mirth,The House of Mirth,house of mirth,House of Mirth
365,2326,1.0,dirk gently s holistic detective agency dirk gently 1,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",dirk gently s holistic detective agency dirk gently 1,Dirk Gently's Holistic Detective Agency (Dirk Gently #1)
2386,2388,1.0,moby dick,Moby Dick,moby dick,Moby-Dick
2386,79251,1.0,moby dick,Moby Dick,moby dick,Moby Dick
2388,79251,1.0,moby dick,Moby-Dick,moby dick,Moby Dick
2404,2409,0.9473450559566591,moby dick or the white whale oxford illustrated classics,Moby Dick: or The White Whale (Oxford Illustrated Classics),moby dick or the white whale oxford illustrated classics series,"Moby Dick: Or, the White Whale (Oxford Illustrated Classics Series)"
2442,13856,0.8590331008632784,witches abroad discworld 12 witches 3,"Witches Abroad (Discworld, #12; Witches #3)",witches abroad discworld 12,"Witches Abroad (Discworld, #12)"
2504,3688,0.9488457725898136,the complete short stories,The Complete Short Stories,complete short stories,Complete Short Stories
2504,32076,0.8595643872097047,the complete short stories,The Complete Short Stories,the complete short stories vol 3,"The Complete Short Stories, Vol 3"
2510,80938,1.0,the war of the worlds,The War Of The Worlds,the war of the worlds,The War of the Worlds
2527,50010,0.8980562389710074,the gospel according to jesus christ,The Gospel According to Jesus Christ,the gospel according to jesus,The Gospel According to Jesus
