id,name,ratingdist1,pagesnumber,ratingdist4,ratingdisttotal,publishmonth,publishday,publisher,countsofreview,publishyear,language,authors,rating,ratingdist2,ratingdist5,isbn,ratingdist3,__title_norm__,removal_reason
2146,Blink.,1:0,440,4:12,total:21,10,11,Phaidon Press,1,2004,,Phaidon Press,4.0,2:1,5:5,0714844586,3:3,blink,duplicate_title
2183,Sentimental Education,1:490,460,4:5730,total:16973,5,2,Penguin Classics,395,2004,eng,Gustave Flaubert,3.83,2:1346,5:5365,0140447970,3:4042,sentimental education,duplicate_title
2326,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),1:1192,6,4:42965,total:113881,30,9,Phoenix Audio,15,2005,eng,Douglas Adams,3.98,2:5492,5:38323,1597770078,3:25909,dirk gently s holistic detective agency dirk gently 1,duplicate_title
2388,Moby-Dick,1:9,192,4:49,total:169,12,9,Candlewick Press,16,2006,eng,Jan Needle,3.71,2:17,5:53,0763630187,3:41,moby dick,duplicate_title
2409,"Moby Dick: Or, the White Whale (Oxford Illustrated Classics Series)",1:1,102,4:20,total:62,3,4,"Oxford University Press, USA",0,1997,eng,Geraldine McCaughrean,3.82,2:7,5:20,019274156X,3:14,moby dick or the white whale oxford illustrated classics series,duplicate_title
2575,The Long Tail:  Why The Future Is Selling Less Of More,1:1058,238,4:9993,total:27505,6,7,Hyperion,9,2006,,Chris Anderson,3.81,2:1907,5:8193,190521121X,3:6354,the long tail why the future is selling less of more,duplicate_title
2630,In Praise of Folly,1:201,264,4:4575,total:12245,16,4,Kessinger Publishing,0,2004,,Erasmus,3.88,2:727,5:3666,1417908998,3:3076,in praise of folly,duplicate_title
2636,Praise of Folly,1:201,288,4:4575,total:12245,30,7,Penguin Books Ltd,5,1971,,Erasmus,3.88,2:727,5:3666,0140442405,3:3076,praise of folly,duplicate_title
2673,The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,1:138,199,4:2874,total:8201,20,9,Prima Lifestyles,4,1995,eng,David H. Chilton,4.02,2:376,5:3088,0761501665,3:1725,the wealthy barber everyone s common sense guide to becoming financially independent,duplicate_title
2807,E=mc² :  A Biography of the World's Most Famous Equation,1:95,330,4:2629,total:7094,1,8,Pan MacMillan,20,2001,,David Bodanis,4.09,2:255,5:2773,0330391658,3:1342,e mc2 a biography of the world s most famous equation,duplicate_title
2827,The Birth of Tragedy/On the Genealogy of Morals,1:14,320,4:330,total:887,13,1,Pan Macmillan,0,1995,,Friedrich Nietzsche,4.01,2:41,5:318,0330314939,3:184,the birth of tragedy on the genealogy of morals,duplicate_title
2870,Wizard Study Guide Girl With A Pearl Earring (Cambridge Wizard English Student Guides),1:0,64,4:0,total:0,23,10,Wizard Books,0,2002,,A.P. di Stephano,0.0,2:0,5:0,1876973145,3:0,wizard study guide girl with a pearl earring cambridge wizard english student guides,duplicate_title
2881,"Bleach, Volume 14",1:105,208,4:2623,total:10598,1,8,VIZ Media LLC,79,2006,eng,Tite Kubo,4.38,2:268,5:6259,1421506122,3:1343,bleach volume 14,duplicate_title
2882,"Bleach, Volume 11",1:88,208,4:2411,total:9054,7,2,VIZ Media LLC,85,2006,eng,Tite Kubo,4.36,2:218,5:5134,1421502712,3:1203,bleach volume 11,duplicate_title
2883,"Bleach, Volume 12",1:76,208,4:2466,total:9250,4,4,VIZ Media LLC,86,2006,eng,Tite Kubo,4.36,2:232,5:5266,1421504030,3:1210,bleach volume 12,duplicate_title
2956,The Adventures of Huckleberry Finn,1:30962,327,4:385797,total:1117780,31,12,Penguin Classics,11565,2002,eng,Mark Twain,3.82,2:83341,5:336670,0142437174,3:281010,the adventures of huckleberry finn,duplicate_title
3002,Secret Garden,1:11074,0,4:292090,total:844700,6,3,AudioGO,1,2006,,Frances Hodgson Burnett,4.13,2:30748,5:359306,1572705221,3:151482,secret garden,duplicate_title
3083,Elizabeth and her German Garden,1:48,84,4:994,total:2655,21,8,Echo Library,1,2006,,Elizabeth von Arnim,3.79,2:192,5:700,1406807184,3:721,elizabeth and her german garden,duplicate_title
3289,Introducing Mind & Brain,1:4,176,4:94,total:250,19,1,Totem Books,0,1999,,Angus Gellatly,3.54,2:26,5:37,1840460849,3:89,introducing mind brain,duplicate_title
3433,Wisdom from the Five People You Meet in Heaven,1:6,96,4:53,total:184,1,1,Chalice Press,17,2005,,Brandon Gilvin,3.84,2:14,5:64,0827230257,3:47,wisdom from the five people you meet in heaven,duplicate_title
3438,The Curious Incident of the Dog In the Night-time,1:25832,268,4:438708,total:1137451,1,4,Red Fox,759,2004,eng,Mark Haddon,3.88,2:69148,5:340892,0099456761,3:262871,the curious incident of the dog in the night time,duplicate_title
3439,The Curious Incident of the Dog in the Night-time,1:25832,240,4:438708,total:1137451,28,3,Doubleday Canada,6,2006,eng,Mark Haddon,3.88,2:69148,5:340892,0385662238,3:262871,the curious incident of the dog in the night time,duplicate_title
3530,"Kare First Love, Vol. 10 (Kare First Love, #10)",1:12,208,4:204,total:748,12,12,VIZ Media LLC,18,2006,eng,Kaho Miyasaka,4.09,2:45,5:341,1421505487,3:146,kare first love vol 10 kare first love 10,duplicate_title
3590,The Adventures of Sherlock Holmes,1:1304,389,4:83231,total:229855,22,10,Oxford University Press,3857,1998,eng,Arthur Conan Doyle,4.31,2:3777,5:111679,,3:29864,the adventures of sherlock holmes,duplicate_title
3597,The Complete Adventures and Memoirs of Sherlock Holmes,1:36,334,4:2167,total:6147,1,7,Gramercy Books,87,2001,eng,Arthur Conan Doyle,4.33,2:93,5:3092,0517174960,3:759,the complete adventures and memoirs of sherlock holmes,duplicate_title
3604,Personal Finance for Dummies,1:31,454,4:506,total:1452,1,8,John Wiley & Sons,93,2003,eng,Eric Tyson,3.78,2:109,5:396,0764525905,3:410,personal finance for dummies,duplicate_title
3609,Personal Finance for Canadians for Dummies,1:0,456,4:50,total:92,6,2,For Dummies,9,2006,,Eric Tyson,3.78,2:4,5:13,0470837683,3:25,personal finance for canadians for dummies,duplicate_title
3688,Complete Short Stories,1:7,594,4:468,total:1156,1,2,Penguin Classics,69,2005,eng,Graham Greene,4.17,2:24,5:460,0143039105,3:197,complete short stories,duplicate_title
3719,Stranger Than Fiction,1:0,152,4:0,total:2,1,2,Hats Off Books,0,2005,,"Marcia ""Denrique"" Preudhomme",5.0,2:0,5:2,158736378X,3:0,stranger than fiction,duplicate_title
3735,The Poems of Herman Melville,1:0,349,4:13,total:43,1,8,Kent State University Press,1,2000,,Douglas Robillard,3.91,2:4,5:15,0873386604,3:11,the poems of herman melville,duplicate_title
3944,"La Caída de Hyperion (Los Cantos de Hyperion, #2)",1:837,736,4:32754,total:90987,1,6,Ediciones B,26,2005,,Dan Simmons,4.21,2:3041,5:40817,8466617442,3:13538,la caida de hyperion los cantos de hyperion 2,duplicate_title
3956,A Don't Sweat the Small Stuff Treasury: A Special Selection for Fathers,1:0,112,4:1,total:6,1,5,Hyperion Books,0,1999,,Richard Carlson,4.0,2:1,5:3,0786865741,3:1,a don t sweat the small stuff treasury a special selection for fathers,duplicate_title
3959,A Don't Sweat the Small Stuff Treasury: A Special Selection for Mothers,1:0,112,4:1,total:6,1,5,Hyperion Books,2,1999,,Richard Carlson,3.17,2:0,5:0,0786865733,3:5,a don t sweat the small stuff treasury a special selection for mothers,duplicate_title
3963,A Don't Sweat the Small Stuff Treasury: A Special Collection for Friends,1:0,112,4:4,total:5,5,4,Hyperion,1,2000,,Richard Carlson,3.8,2:0,5:0,078686625X,3:1,a don t sweat the small stuff treasury a special collection for friends,duplicate_title
4067,How to Know If Someone is Worth Pursuing in Two Dates or Less,1:2,208,4:15,total:52,25,9,Thomas Nelson Publishers,6,1999,,Neil Clark Warren,3.71,2:8,5:17,0785269045,3:10,how to know if someone is worth pursuing in two dates or less,duplicate_title
4126,Getting to Yes: Negotiating an agreement without giving in,1:987,224,4:20398,total:56817,18,9,Random House Business,12,1997,,Roger Fisher,3.94,2:2882,5:18833,1844131467,3:13717,getting to yes negotiating an agreement without giving in,duplicate_title
4178,One Last Season,1:4,351,4:6,total:20,31,12,Dell Publishing Company,0,1981,,Richard Woodley,3.25,2:3,5:5,0440166985,3:2,one last season,duplicate_title
4277,The Complete Polysyllabic Spree,1:17,278,4:429,total:1073,7,9,Viking,63,2006,eng,Nick Hornby,3.6,2:102,5:174,0670916668,3:351,the complete polysyllabic spree,duplicate_title
4331,"Dreamland (Dreamland, #1)",1:25,375,4:527,total:1453,2,7,HarperCollins Publishers Ltd,28,2001,eng,Dale Brown,3.9,2:74,5:454,0007109660,3:373,dreamland dreamland 1,duplicate_title
4341,Dispatch,1:41,386,4:458,total:1345,4,10,Signet,104,2005,en-US,Bentley Little,3.62,2:124,5:292,0451216776,3:430,dispatch,duplicate_title
4407,"American Gods (American Gods, #1)",1:14340,635,4:246921,total:721393,4,3,Headline Review,15997,2005,eng,Neil Gaiman,4.11,2:35044,5:309006,,3:116082,american gods american gods 1,duplicate_title
4415,East Of Eden,1:4819,691,4:114479,total:409480,1,1,Bantam Books,18,1977,eng,John Steinbeck,4.37,2:10796,5:234471,0553116088,3:44915,east of eden,duplicate_title
4463,The Road Less Travelled And Beyond: Spiritual Growth in an Age of Anxiety,1:48,320,4:1130,total:3474,4,2,Rider,1,1999,,M. Scott Peck,4.14,2:138,5:1532,0712670769,3:626,the road less travelled and beyond spiritual growth in an age of anxiety,duplicate_title
4712,"Beautiful and Damned, The",1:787,384,4:15975,total:42048,11,5,IndyPublish,0,2005,,F. Scott Fitzgerald,3.75,2:3150,5:10239,1421905507,3:11897,beautiful and damned the,duplicate_title
4739,Souvenir of Canada,1:11,144,4:338,total:894,1,7,Douglas  McIntyre,34,2002,en-US,Douglas Coupland,3.85,2:46,5:247,1550549170,3:252,souvenir of canada,duplicate_title
4789,There Goes the Neighbourhood,1:0,112,4:0,total:1,10,9,Red Deer Press,0,2002,,Valerie Lupini,3.0,2:0,5:0,0889951284,3:1,there goes the neighbourhood,duplicate_title
4806,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,1:1118,192,4:21948,total:54981,1,10,Walker Books,1902,2005,eng,Dava Sobel,3.96,2:2465,5:17785,0802714625,3:11665,longitude the true story of a lone genius who solved the greatest scientific problem of his time,duplicate_title
4809,Longitude: The True Story of a Lone Genius who Solved the Greatest Scientific Problem of His Time,1:1118,0,4:21948,total:54981,11,10,RH Audio,22,2005,,Dava Sobel,3.96,2:2465,5:17785,0739323784,3:11665,longitude the true story of a lone genius who solved the greatest scientific problem of his time,duplicate_title
4829,Before The Mayflower A History of Black America,1:25,681,4:566,total:2355,1,5,Penguin Books,1,1984,eng,Lerone Bennett Jr.,4.44,2:47,5:1459,0140072144,3:258,before the mayflower a history of black america,duplicate_title
4921,"Three Men in a Boat (Three Men, #1)",1:1224,185,4:18267,total:52557,1,10,Penguin Books,2857,1994,eng,Jerome K. Jerome,3.89,2:3546,5:17237,,3:12283,three men in a boat three men 1,duplicate_title
4956,How We Are Hungry: Stories,1:176,218,4:5093,total:12932,13,10,McSweeney's,38,2004,eng,Dave Eggers,3.75,2:832,5:2874,1932416137,3:3957,how we are hungry stories,duplicate_title
4970,A Year of Wonder,1:0,156,4:14,total:28,1,6,Westminster John Knox Press,1,2003,,C. David McKirachan,4.14,2:0,5:9,0664225977,3:5,a year of wonder,duplicate_title
5140,The Devil Wears Prada,1:26214,360,4:255765,total:767673,30,5,Broadway,38,2006,,Lauren Weisberger,3.74,2:62296,5:214721,0767925955,3:208677,the devil wears prada,duplicate_title
5310,The Life and Times of Scrooge McDuck Companion,1:26,208,4:238,total:1243,19,9,Gemstone Publishing,22,2006,eng,Don Rosa,4.48,2:29,5:839,1888472405,3:111,the life and times of scrooge mcduck companion,duplicate_title
5317,Uncle Scrooge #358,1:0,64,4:2,total:6,17,10,Gemstone Publishing,0,2006,,Carl Barks,3.67,2:0,5:1,1888472413,3:3,uncle scrooge 358,duplicate_title
5322,The Christmas Story,1:14,24,4:306,total:1458,1,8,Golden Books,32,2000,en-US,Jane Werner Watson,4.43,2:42,5:924,0307989135,3:172,the christmas story,duplicate_title
5396,Dragon's Eye,1:0,279,4:8,total:41,1,7,Baen Books,7,1994,en-GB,Christopher Stasheff,3.51,2:7,5:10,0671876090,3:16,dragon s eye,duplicate_title
5479,Brave New World / Brave New World Revisited,1:1518,340,4:48255,total:134113,5,7,Harper Perennial Modern Classics,1062,2005,eng,Aldous Huxley,4.16,2:4572,5:57789,0060776099,3:21979,brave new world brave new world revisited,duplicate_title
5480,Brave New World and Brave New World Revisited,1:1518,340,4:48255,total:134113,1,6,HarperCollins,55,2004,eng,Aldous Huxley,4.16,2:4572,5:57789,0060535261,3:21979,brave new world and brave new world revisited,duplicate_title
5481,Brave New World Revisited,1:286,123,4:5651,total:15168,5,9,Harper Perennial Modern Classics,751,2006,eng,Aldous Huxley,3.95,2:832,5:5081,0060898526,3:3318,brave new world revisited,duplicate_title
5713,If I Die In A Combat Zone,1:128,208,4:3708,total:8583,24,4,Flamingo,4,1995,eng,Tim O'Brien,3.95,2:357,5:2538,0586087990,3:1852,if i die in a combat zone,duplicate_title
5722,Tom Clancy's Rainbow Six Lockdown (PC): Prima Official Game Guide (Prima Official Game Guides),1:0,112,4:0,total:1,7,2,Prima Games,0,2006,,Joe Grant Bell,5.0,2:0,5:1,0761553290,3:0,tom clancy s rainbow six lockdown pc prima official game guide prima official game guides,duplicate_title
5771,The Design and Implementation of the 4.3BSD UNIX Operating System Answer Book,1:0,85,4:1,total:5,1,3,Addison Wesley Publishing Company,0,1991,,Samuel J. Leffler,3.6,2:0,5:1,0201546299,3:3,the design and implementation of the 4 3bsd unix operating system answer book,duplicate_title
5912,The Hobbit: Or There and Back Again,1:56770,481,4:814287,total:2747372,1,9,Large Print Press,43,2003,eng,J.R.R. Tolkien,4.27,2:90969,5:1441734,1594130051,3:343612,the hobbit or there and back again,duplicate_title
6064,"Tuscany, Wandering the Back Roadsv. 2",1:0,120,4:0,total:0,1,9,Lodima Press,0,2004,,Robert Sobieszek,0.0,2:0,5:0,188889914X,3:0,tuscany wandering the back roadsv 2,duplicate_title
6145,The Moonstones,1:3,208,4:16,total:57,1,5,Puffin,4,2000,,Jean Thesman,3.81,2:4,5:20,0141308095,3:14,the moonstones,duplicate_title
6264,Birdsongs,1:1,40,4:127,total:265,9,1,Margaret K. McElderry Books,59,2007,,Betsy Franco,3.86,2:12,5:57,0689877773,3:68,birdsongs,duplicate_title
6288,The Road,1:23819,241,4:234410,total:683245,2,10,Alfred A. Knopf,34604,2006,eng,Cormac McCarthy,3.97,2:43561,5:258960,0307265439,3:122495,the road,duplicate_title
6299,"Howl's Moving Castle, Vol. 4 (Howl's Moving Castle Film Comics, #4)",1:6,176,4:139,total:476,8,11,VIZ Media LLC,15,2005,,Hayao Miyazaki,4.33,2:10,5:258,1421500949,3:63,howl s moving castle vol 4 howl s moving castle film comics 4,duplicate_title
6416,Spiritual Connections 2-CD: How to Find Spirituality Throughout All the Relationships in Your Life,1:15,0,4:108,total:373,27,3,Hay House,0,2007,,Sylvia Browne,3.84,2:29,5:132,1401908837,3:89,spiritual connections 2 cd how to find spirituality throughout all the relationships in your life,duplicate_title
6463,Writings,1:4,1184,4:69,total:251,22,2,Library of America,7,1997,,George Washington,4.25,2:5,5:129,188301123X,3:44,writings,duplicate_title
6493,8 Minutes in the Morning Kit for Extra Easy Weight Loss,1:2,64,4:10,total:32,1,7,Hay House,0,2003,,Jorge Cruise,3.19,2:8,5:4,1401902804,3:8,8 minutes in the morning kit for extra easy weight loss,duplicate_title
6748,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,1:410,353,4:12260,total:32317,2,2,Back Bay Books,2042,1998,eng,David Foster Wallace,4.25,2:887,5:14877,0316925284,3:3883,a supposedly fun thing i ll never do again essays and arguments,duplicate_title
6795,The Cloud Atlas,1:107,368,4:680,total:2122,1,8,Dial Press,260,2004,en-GB,Liam Callanan,3.38,2:282,5:308,0385336950,3:745,the cloud atlas,duplicate_title
6930,What to Expect the First Year,1:404,806,4:5459,total:15482,1,5,Simon & Schuster,3,2004,,Heidi Murkoff,3.89,2:877,5:4989,0743231880,3:3753,what to expect the first year,duplicate_title
7007,William Shakespeare's A Midsummer Night's Dream (Cliffs Complete),1:0,192,4:9,total:38,29,4,Cliffs Notes,3,2001,eng,CliffsNotes,3.89,2:3,5:14,0764587250,3:12,william shakespeare s a midsummer night s dream cliffs complete,duplicate_title
7039,Tears of the Giraffe (No. 1 Ladies' Detective Agency #2),1:222,217,4:22121,total:47886,7,8,Abacus,2088,2003,eng,Alexander McCall Smith,3.96,2:1251,5:12876,,3:11416,tears of the giraffe no 1 ladies detective agency 2,duplicate_title
7053,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6),1:55,233,4:11817,total:25342,19,4,Pantheon,919,2005,eng,Alexander McCall Smith,4.08,2:387,5:7978,0375422714,3:5105,in the company of cheerful ladies no 1 ladies detective agency 6,duplicate_title
7059,"Morality for Beautiful Girls (No. 1 Ladies' Detective Agency, #3)",1:89,225,4:17036,total:37018,6,11,Abacus,115,2003,eng,Alexander McCall Smith,3.98,2:783,5:10087,,3:9023,morality for beautiful girls no 1 ladies detective agency 3,duplicate_title
7129,Count of Monte Cristo,1:1,88,4:8,total:20,15,4,Cliffs Notes,4,1985,,Arnie Jacobson,3.9,2:0,5:6,0822003260,3:5,count of monte cristo,duplicate_title
7139,Crime and Punishment in American History,1:3,590,4:59,total:132,9,9,Basic Books,4,1994,eng,Lawrence M. Friedman,3.86,2:7,5:34,0465014879,3:29,crime and punishment in american history,duplicate_title
7140,Crime and Punishment in America,1:1,240,4:47,total:97,15,10,Picador,11,1998,eng,Elliott Currie,3.84,2:2,5:19,0805060162,3:28,crime and punishment in america,duplicate_title
7363,Midnight in the Garden of Good and Evie,1:6,384,4:100,total:238,26,4,Avon,27,2005,,Marianne Stillings,3.81,2:12,5:58,0060734760,3:62,midnight in the garden of good and evie,duplicate_title
7498,Suzanne's Diary For Nicholas,1:2335,289,4:41709,total:136905,1,4,Warner Books (NY),3,2005,,James Patterson,4.17,2:5803,5:64348,044679483X,3:22710,suzanne s diary for nicholas,duplicate_title
7512,The Beach House (Beach House #1),1:144,491,4:8044,total:20844,25,4,Mira Books,1049,2006,eng,Mary Alice Monroe,4.2,2:503,5:8917,0778322947,3:3236,the beach house beach house 1,duplicate_title
7552,The Acme Novelty Library,1:49,108,4:825,total:2817,20,9,Pantheon Books,77,2005,en-US,Chris Ware,4.31,2:84,5:1520,0375422951,3:339,the acme novelty library,duplicate_title
7590,A Portrait of the Artist As a Young Man,1:7441,490,4:39761,total:123792,1,5,W. W. Norton & Company,37,2007,eng,James Joyce,3.61,2:13153,5:32171,0393926796,3:31266,a portrait of the artist as a young man,duplicate_title
7593,"A Portrait of the Artist as a Young Man, Notes",1:0,86,4:4,total:13,11,12,Cliffs Notes,1,1964,,Valerie Zimbarro,3.54,2:1,5:2,0822010577,3:6,a portrait of the artist as a young man notes,duplicate_title
7600,One Hundred Years Of Solitude,1:31199,416,4:191426,total:712648,21,9,Everyman,53,1995,eng,Gabriel García Márquez,4.07,2:44387,5:339802,1857152239,3:105834,one hundred years of solitude,duplicate_title
7729,Antigones,1:3,328,4:36,total:90,30,10,Yale University Press,3,1996,,George Steiner,4.01,2:3,5:32,0300069154,3:16,antigones,duplicate_title
